benchmark,suite,compiler,iteration,wall_s,time_wall_s,user_s,sys_s,rss_kb,object_bytes
crc32_slice,embench_style,YSX,0,0.014358454,0.010000,0.010000,0.000000,58240,1400
crc32_slice,embench_style,YSX,1,0.014063804,0.010000,0.000000,0.010000,57600,1400
crc32_slice,embench_style,YSX,2,0.014235320,0.010000,0.010000,0.000000,58240,1400
crc32_slice,embench_style,YSX,3,0.013914604,0.010000,0.010000,0.000000,58240,1400
crc32_slice,embench_style,YSX,4,0.014034453,0.010000,0.010000,0.000000,58240,1400
crc32_slice,embench_style,YSX,5,0.014044412,0.010000,0.010000,0.000000,57600,1400
crc32_slice,embench_style,YSX,6,0.014364649,0.010000,0.010000,0.000000,57728,1400
crc32_slice,embench_style,YSX,7,0.014084981,0.010000,0.010000,0.000000,57728,1400
crc32_slice,embench_style,YSX,8,0.013789629,0.010000,0.010000,0.000000,58240,1400
crc32_slice,embench_style,YSX,9,0.014548110,0.010000,0.010000,0.000000,58112,1400
crc32_slice,embench_style,YSX,10,0.013813860,0.010000,0.010000,0.000000,58240,1400
crc32_slice,embench_style,YSX,11,0.014607784,0.010000,0.000000,0.000000,57600,1400
crc32_slice,embench_style,YSX,12,0.014503622,0.010000,0.010000,0.000000,57344,1400
crc32_slice,embench_style,YSX,13,0.014432859,0.010000,0.000000,0.010000,57600,1400
crc32_slice,embench_style,YSX,14,0.014921948,0.010000,0.010000,0.000000,57728,1400
crc32_slice,embench_style,YSX,15,0.014830776,0.010000,0.000000,0.010000,57728,1400
crc32_slice,embench_style,YSX,16,0.016922736,0.010000,0.010000,0.000000,57600,1400
crc32_slice,embench_style,YSX,17,0.016095075,0.010000,0.010000,0.000000,57344,1400
crc32_slice,embench_style,YSX,18,0.016055905,0.010000,0.000000,0.010000,57600,1400
crc32_slice,embench_style,YSX,19,0.015336700,0.010000,0.010000,0.000000,58624,1400
crc32_slice,embench_style,YSX,20,0.014969511,0.010000,0.000000,0.010000,57344,1400
crc32_slice,embench_style,YSX,21,0.016909212,0.010000,0.000000,0.010000,58368,1400
crc32_slice,embench_style,YSX,22,0.014375733,0.010000,0.000000,0.000000,57472,1400
crc32_slice,embench_style,YSX,23,0.013847984,0.010000,0.010000,0.000000,57600,1400
crc32_slice,embench_style,YSX,24,0.013954500,0.010000,0.000000,0.000000,57728,1400
crc32_slice,embench_style,YSX,25,0.014661381,0.010000,0.000000,0.000000,57728,1400
crc32_slice,embench_style,YSX,26,0.016061696,0.010000,0.000000,0.010000,58240,1400
crc32_slice,embench_style,YSX,27,0.014361167,0.010000,0.000000,0.000000,57600,1400
crc32_slice,embench_style,YSX,28,0.013470493,0.010000,0.000000,0.010000,57728,1400
crc32_slice,embench_style,YSX,29,0.015584072,0.010000,0.010000,0.000000,57600,1400
crc32_slice,embench_style,RISCV,0,0.015825475,0.010000,0.000000,0.010000,61568,1400
crc32_slice,embench_style,RISCV,1,0.015645833,0.010000,0.010000,0.000000,61568,1400
crc32_slice,embench_style,RISCV,2,0.015580518,0.010000,0.010000,0.000000,61696,1400
crc32_slice,embench_style,RISCV,3,0.015935281,0.010000,0.000000,0.000000,61568,1400
crc32_slice,embench_style,RISCV,4,0.016262014,0.010000,0.010000,0.000000,61184,1400
crc32_slice,embench_style,RISCV,5,0.016320333,0.010000,0.000000,0.000000,61568,1400
crc32_slice,embench_style,RISCV,6,0.015816232,0.010000,0.000000,0.010000,61184,1400
crc32_slice,embench_style,RISCV,7,0.015816201,0.010000,0.000000,0.010000,60928,1400
crc32_slice,embench_style,RISCV,8,0.016614602,0.010000,0.000000,0.000000,61184,1400
crc32_slice,embench_style,RISCV,9,0.016105149,0.010000,0.010000,0.000000,61312,1400
crc32_slice,embench_style,RISCV,10,0.016616776,0.010000,0.010000,0.000000,61184,1400
crc32_slice,embench_style,RISCV,11,0.018396715,0.010000,0.010000,0.000000,61184,1400
crc32_slice,embench_style,RISCV,12,0.017554937,0.010000,0.010000,0.000000,61440,1400
crc32_slice,embench_style,RISCV,13,0.017300955,0.010000,0.010000,0.000000,61184,1400
crc32_slice,embench_style,RISCV,14,0.016579466,0.010000,0.000000,0.000000,61184,1400
crc32_slice,embench_style,RISCV,15,0.017164767,0.010000,0.010000,0.000000,61568,1400
crc32_slice,embench_style,RISCV,16,0.017856794,0.010000,0.000000,0.010000,61568,1400
crc32_slice,embench_style,RISCV,17,0.017246136,0.010000,0.000000,0.000000,61824,1400
crc32_slice,embench_style,RISCV,18,0.017033233,0.010000,0.000000,0.000000,61568,1400
crc32_slice,embench_style,RISCV,19,0.016676790,0.010000,0.000000,0.000000,61568,1400
crc32_slice,embench_style,RISCV,20,0.017316614,0.010000,0.000000,0.010000,61440,1400
crc32_slice,embench_style,RISCV,21,0.016332645,0.010000,0.010000,0.000000,61184,1400
crc32_slice,embench_style,RISCV,22,0.018433078,0.010000,0.000000,0.000000,61696,1400
crc32_slice,embench_style,RISCV,23,0.017422010,0.010000,0.000000,0.000000,61696,1400
crc32_slice,embench_style,RISCV,24,0.016536977,0.010000,0.010000,0.000000,61568,1400
crc32_slice,embench_style,RISCV,25,0.015986703,0.010000,0.010000,0.000000,61312,1400
crc32_slice,embench_style,RISCV,26,0.015800704,0.010000,0.010000,0.000000,61568,1400
crc32_slice,embench_style,RISCV,27,0.016000985,0.010000,0.010000,0.000000,61312,1400
crc32_slice,embench_style,RISCV,28,0.017735060,0.010000,0.000000,0.000000,61184,1400
crc32_slice,embench_style,RISCV,29,0.018377850,0.010000,0.010000,0.000000,61568,1400
matmul_i32,embench_style,YSX,0,0.014495054,0.010000,0.000000,0.000000,56952,1392
matmul_i32,embench_style,YSX,1,0.012409612,0.010000,0.010000,0.000000,57080,1392
matmul_i32,embench_style,YSX,2,0.012705083,0.010000,0.010000,0.000000,56948,1392
