benchmark,suite,compiler,wall_median_s,wall_mean_s,wall_stdev_s,wall_min_s,wall_max_s,user_median_s,sys_median_s,rss_median_kb,object_bytes,source
crc32_slice,embench_style,YSX,0.013933882,0.014369517,0.001271920,0.013107632,0.017588370,0.010000,0.000000,57728,1400,benchmarks/embench_style/crc32_slice.c
crc32_slice,embench_style,RISCV,0.017203502,0.017370521,0.000966337,0.015499614,0.019647155,0.000000,0.000000,61440,1400,benchmarks/embench_style/crc32_slice.c
matmul_i32,embench_style,YSX,0.012866687,0.012990930,0.000948463,0.011964908,0.017247860,0.010000,0.000000,57208,1392,benchmarks/embench_style/matmul_i32.c
matmul_i32,embench_style,RISCV,0.015059757,0.015220420,0.001054459,0.013644017,0.018586052,0.010000,0.000000,60598,1392,benchmarks/embench_style/matmul_i32.c
bitmix_sha_style,embench_style,YSX,0.012805439,0.012884621,0.000364270,0.012282303,0.013757135,0.010000,0.000000,57984,1368,benchmarks/embench_style/bitmix_sha_style.c
bitmix_sha_style,embench_style,RISCV,0.015762366,0.016207240,0.001595898,0.014530979,0.021665516,0.010000,0.000000,61568,1360,benchmarks/embench_style/bitmix_sha_style.c
montgomery64,embench_style,YSX,0.011675128,0.011815561,0.000641623,0.010818527,0.013423802,0.010000,0.000000,56920,1480,benchmarks/embench_style/montgomery64.c
montgomery64,embench_style,RISCV,0.013729078,0.014095247,0.001023644,0.013190797,0.017093251,0.005000,0.000000,61154,1480,benchmarks/embench_style/montgomery64.c
insertion_sort,embench_style,YSX,0.011821625,0.011887459,0.000481794,0.010979093,0.013052888,0.000000,0.010000,56416,1536,benchmarks/embench_style/insertion_sort.c
insertion_sort,embench_style,RISCV,0.014054050,0.014415540,0.000932640,0.013337663,0.016746638,0.010000,0.000000,60508,1536,benchmarks/embench_style/insertion_sort.c
state_machine,embench_style,YSX,0.013158716,0.013959194,0.002169329,0.012321624,0.022269251,0.000000,0.000000,57658,2512,benchmarks/embench_style/state_machine.c
state_machine,embench_style,RISCV,0.015421534,0.015716885,0.001136723,0.014494052,0.018515968,0.000000,0.000000,61540,2512,benchmarks/embench_style/state_machine.c
dijkstra_i32,embench_style,YSX,0.015047575,0.015065259,0.000460337,0.014284658,0.016416702,0.010000,0.000000,57694,2120,benchmarks/embench_style/dijkstra_i32.c
dijkstra_i32,embench_style,RISCV,0.016917696,0.017210485,0.000788227,0.016096874,0.018765389,0.005000,0.000000,61032,2112,benchmarks/embench_style/dijkstra_i32.c
fir_i32,embench_style,YSX,0.013623106,0.014176376,0.001805727,0.012291932,0.019301693,0.000000,0.000000,57204,1712,benchmarks/embench_style/fir_i32.c
fir_i32,embench_style,RISCV,0.015057589,0.015147870,0.000890961,0.013720191,0.018203069,0.010000,0.000000,60666,1632,benchmarks/embench_style/fir_i32.c
fixed_butterfly_i32,embench_style,YSX,0.016910566,0.016888692,0.000986647,0.015019677,0.018621043,0.010000,0.000000,57568,1968,benchmarks/embench_style/fixed_butterfly_i32.c
fixed_butterfly_i32,embench_style,RISCV,0.018068231,0.018226501,0.000692297,0.017332165,0.020572210,0.010000,0.000000,61184,1968,benchmarks/embench_style/fixed_butterfly_i32.c
levenshtein_i32,embench_style,YSX,0.015739881,0.016115665,0.001273811,0.014917413,0.020711904,0.010000,0.000000,58060,2008,benchmarks/embench_style/levenshtein_i32.c
levenshtein_i32,embench_style,RISCV,0.017600316,0.017869727,0.001028406,0.016707072,0.021151487,0.010000,0.000000,61628,1952,benchmarks/embench_style/levenshtein_i32.c
atax_i32,polybench_style,YSX,0.013916128,0.013895968,0.000474643,0.013215214,0.014831947,0.010000,0.000000,57472,1608,benchmarks/polybench_style/atax_i32.c
atax_i32,polybench_style,RISCV,0.016207145,0.016284224,0.000890453,0.015173385,0.019587542,0.010000,0.000000,60828,1608,benchmarks/polybench_style/atax_i32.c
bicg_i32,polybench_style,YSX,0.013791647,0.013992238,0.001175115,0.012802490,0.017778045,0.000000,0.000000,57232,1600,benchmarks/polybench_style/bicg_i32.c
bicg_i32,polybench_style,RISCV,0.015174864,0.015334236,0.000623643,0.014317972,0.017284405,0.010000,0.000000,60800,1600,benchmarks/polybench_style/bicg_i32.c
gemm_i32,polybench_style,YSX,0.013572016,0.013577392,0.000758741,0.012497956,0.015783381,0.010000,0.000000,57164,1768,benchmarks/polybench_style/gemm_i32.c
gemm_i32,polybench_style,RISCV,0.015709251,0.016091600,0.001227642,0.014506916,0.019397823,0.005000,0.000000,60800,1768,benchmarks/polybench_style/gemm_i32.c
